name,hair,feathers,eggs,milk,airborne,acquatic,predator,toothed,backbone,breathes,venomous,fins,no of legs,tail,domestic,catsize,target
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,big,mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,big,mammal
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,small,fish
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,big,mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,big,mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,big,mammal
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,small,fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,small,fish
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,small,mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,small,bird
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,small,fish
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,small,mollusc
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,small,mollusc
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,small,mollusc
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,small,bird
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,big,mammal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,big,fish
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,big,mammal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,small,bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,small,bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,big,mammal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,big,bird
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,small,insect
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,small,amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,small,amphibian
