name,hair,feathers,eggs,milk,airborne,acquatic,predator,toothed,backbone,breathes,venomous,fins,no of legs,tail,domestic,target
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,bird
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,mollusc
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,mollusc
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,mollusc
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,bird
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,mammal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,bird
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,insect
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,amphibian
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,mammal
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,insect
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,mammal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,bird
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,fish
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,bird
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,insect
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,insect
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,bird
